Frame,Obj,X,Y,Z,Doppler,Intensity
34,6,0.46094,0.25391,0.025391,-0.25686,39
34,6,0.23242,0.1875,-0.48828,-0.25686,82
34,6,0.25,0,-0.57422,-0.25686,70
34,6,0.19727,0.24609,-0.42383,-0.25686,33
34,6,0.48242,0.30664,0.0097656,-0.25686,72
34,6,0.5,0.34766,-0.087891,-0.25686,59
37,4,0.48047,0.37695,-0.072266,0.25686,89
37,4,0.53516,0.38281,-0.027344,0.25686,107
37,4,0.21094,0.30664,-0.49023,0.25686,63
37,4,0.24805,0.29102,-0.53711,0.25686,75
38,2,0.5,0.35742,-0.033203,-0.25686,78
38,2,0.25,0.24023,-0.50781,-0.25686,71
39,28,0.41211,0,0.33594,0,74
39,28,0.44727,0.33984,-0.10547,0,135
39,28,0.5,0.32422,-0.1543,0,142
39,28,0.30859,0,-0.60547,0,104
39,28,0.33008,0,-0.66406,0,54
39,28,0.42773,0.1582,0.26367,-0.51373,61
39,28,0.46484,0.2832,-0.17578,-0.51373,115
39,28,0.5,0.2793,-0.22461,-0.51373,120
39,28,0.30859,0,0.63672,-0.51373,85
39,28,0.41211,0.13867,0.29883,-0.25686,130
39,28,0.44727,0.33008,-0.13477,-0.25686,249
39,28,0.51953,0.2793,-0.17578,-0.25686,262
39,28,0.33008,0,-0.63086,-0.25686,196
39,28,0.33008,0,-0.69727,-0.25686,102
39,28,0.21484,0.44141,-0.19531,0,43
39,28,0.23242,0,-0.5332,0,93
39,28,0.28906,0,-0.56836,0,126
39,28,0.53516,0.3418,-0.17773,0,101
39,28,0.59375,0.32031,-0.19922,0,47
39,28,0.23047,0.36719,-0.29883,-0.51373,47
39,28,0.25,0,0.51563,-0.51373,92
39,28,0.30859,0,0.58203,-0.51373,114
39,28,0.55664,0.28516,-0.21094,-0.51373,81
39,28,0.21484,0.40234,-0.26563,-0.25686,84
39,28,0.25,0,-0.55078,-0.25686,182
39,28,0.48047,0.31641,-0.21875,-0.25686,261
39,28,0.55664,0.29102,-0.20117,-0.25686,186
39,28,0.59375,0.28711,-0.24609,-0.25686,84
40,14,0.42773,0.29492,0.085938,0,76
40,14,0.25,0.22852,-0.45898,0,59
40,14,0.44531,0.2793,0.039063,-0.51373,66
40,14,0.26758,0,-0.51953,-0.51373,54
40,14,0.44531,0.27344,0.072266,-0.25686,140
40,14,0.26758,0.19727,-0.46484,-0.25686,114
40,14,0.28906,0.20508,-0.50391,-0.25686,53
40,14,0.24805,0.19727,-0.42188,0,58
40,14,0.46484,0.33398,0,0,58
40,14,0.24805,0,-0.48828,-0.51373,57
40,14,0.48242,0.30078,0.056641,-0.51373,48
40,14,0.24805,0.14063,-0.44336,-0.25686,113
40,14,0.46484,0.32227,0.087891,-0.25686,104
40,14,-0.076172,0.56836,0.22266,-0.25686,37
41,13,0.37891,0.30078,-0.21094,0,112
41,13,0.42773,0.33398,-0.17773,0,91
41,13,0.46094,0.33594,-0.22852,0,63
41,13,0.37891,0.2207,-0.29297,-0.51373,100
41,13,0.42773,0.24805,-0.28516,-0.51373,83
41,13,0.37891,0.26563,-0.25195,-0.25686,209
41,13,0.41016,0.30469,-0.25586,-0.25686,171
41,13,0.48047,0.27539,-0.26758,-0.25686,117
41,13,0.21484,0.125,0.46484,0,68
41,13,0.25,0.46484,-0.31836,0,43
41,13,0.24805,0,0.47656,-0.51373,69
41,13,0.21484,0.21289,0.43164,-0.25686,129
41,13,0.26953,0,0.5957,-0.25686,83
42,12,0.21484,0,-0.52344,0,90
42,12,0.21484,0.16016,0.50391,0,78
42,12,0.21484,0.19141,0.44336,-0.51373,81
42,12,0.23242,0.29883,0.42773,-0.51373,72
42,12,0.23047,0,0.51563,-0.25686,168
42,12,0.23242,0.16992,0.49414,-0.25686,151
42,12,0.41211,0.28125,-0.17188,0,60
42,12,0.5,0.20898,-0.18164,0,55
42,12,0.41211,0.2207,-0.24414,-0.51373,51
42,12,0.51758,0,-0.26758,-0.51373,53
42,12,0.42773,0.24414,-0.18555,-0.25686,107
42,12,0.5,0.16992,-0.21875,-0.25686,105
43,6,0.37891,0.09375,-0.35352,0,45
43,6,0.36328,0,-0.38672,-0.51373,42
43,6,0.37891,0,-0.38867,-0.25686,107
43,6,0.16406,0,0.50391,0,35
43,6,0.16406,0,0.50977,-0.51373,36
43,6,0.18164,0,0.49805,-0.25686,80
44,2,0.16406,0.47656,0.1543,-0.25686,28
44,2,0.36328,0,-0.41797,-0.25686,28
46,4,0.46094,0,0.39258,0,21
46,4,0.47852,0,0.35938,-0.25686,45
46,4,0.16406,0.48828,-0.10938,0,15
46,4,0.18164,0.41992,-0.26367,-0.25686,37
47,17,0.19727,0,-0.50586,0,133
47,17,0.23242,0,0.54688,0,101
47,17,0.36328,0.27734,0.16016,0.25686,314
47,17,0.19727,0.1875,-0.45117,0.25686,221
47,17,0.23242,0,-0.55664,0.25686,178
47,17,0.39648,0.32031,0.13867,0.51373,104
47,17,0.21484,0.060547,-0.52539,0.51373,82
47,17,0.46094,0.25586,-0.0019531,-0.51373,42
47,17,0.47852,0.21875,0.044922,-0.25686,51
47,17,0.39648,0.34375,0.060547,0,111
47,17,0.42773,0.35938,0.11719,0,69
47,17,0.16602,0.25586,-0.375,0.25686,231
47,17,0.39648,0.32617,0.125,0.25686,217
47,17,0.44727,0.32422,0.15039,0.25686,146
47,17,0.19727,0.26758,-0.4082,0.51373,98
47,17,0.44727,0.30078,0.19336,0.51373,71
47,17,0.16406,0,0.51563,-0.51373,22
48,18,0.18164,0,-0.45898,0,133
48,18,0.41211,0.33008,0.0039063,0,169
48,18,0.44727,0.32422,-0.14844,0,122
48,18,0.35742,0,0.35742,0.25686,192
48,18,0.19727,0.16211,-0.41211,0.25686,248
48,18,0.41211,0.32617,0.046875,0.25686,341
48,18,0.44727,0.34375,-0.095703,0.25686,243
48,18,0.41211,0.32031,0.080078,0.51373,160
48,18,0.44727,0.35352,-0.039063,0.51373,118
48,18,0.37695,0.26953,0.13477,0,116
48,18,0.19727,0,0.5,0,155
48,18,0.21484,0.22266,0.48047,0,93
48,18,0.13672,0,-0.42773,0.25686,115
48,18,0.37695,0.25391,0.16406,0.25686,231
48,18,0.19727,0,-0.51172,0.25686,288
48,18,0.21484,0.097656,0.51953,0.25686,171
48,18,0.19727,0.099609,-0.47852,0.51373,128
48,18,0.19727,0,0.57031,0.51373,80
49,18,0.39648,0.2832,0.20508,0,171
49,18,0.42773,0.29883,0.23047,0,134
49,18,0.23047,0.48633,0.29688,0,44
49,18,0.36328,0.24609,0.20313,0.25686,179
49,18,0.39648,0.25586,0.23828,0.25686,329
49,18,0.41016,0.28516,0.27539,0.25686,257
49,18,0.21094,0.45117,0.35938,0.25686,82
49,18,0.37891,0.23633,0.28125,0.51373,159
49,18,0.41016,0.25195,0.30664,0.51373,119
49,18,0.19727,0.39648,-0.28516,0,115
49,18,0.17773,0.52539,-0.14063,0,80
49,18,0.44141,0.1543,0.39844,0,41
49,18,0.18164,0.3418,-0.29102,0.25686,149
49,18,0.18164,0.4375,-0.23242,0.25686,207
49,18,0.17773,0.53516,-0.083984,0.25686,142
49,18,0.44141,0,0.4668,0.25686,77
49,18,0.18164,0.44531,-0.2168,0.51373,96
49,18,0.17773,0.53516,-0.087891,0.51373,65
50,20,0.39648,0,0.48438,0,48
50,20,0.39258,0,-0.53516,0,50
50,20,0.25,0.28516,0.48438,0,59
50,20,0.39648,0,0.49609,0.25686,84
50,20,0.33984,0,-0.47461,0.25686,89
50,20,0.23047,0.23828,0.51758,0.25686,116
50,20,0.28906,0.16016,0.57031,0.25686,79
50,20,0.39648,0,0.49023,0.51373,38
50,20,0.16016,0.34766,0.42383,0.51373,36
50,20,0.23047,0.1875,0.53906,0.51373,53
50,20,0.14844,0.46094,0.20898,0,27
50,20,0.16016,0.39844,0.37695,0,37
50,20,0.44141,0,-0.45898,0,49
50,20,0.13281,0.45117,0.24023,0.25686,49
50,20,0.375,0,-0.49023,0.25686,88
50,20,0.42383,0.076172,-0.43945,0.25686,90
50,20,0.51563,0.32813,-0.24805,0.25686,75
50,20,0.13281,0.43945,0.25781,0.51373,25
50,20,0.42773,0,-0.55859,0.51373,36
50,20,0.44141,0.11328,-0.41211,0.51373,38
51,4,0.44531,0.27539,0.068359,0.25686,84
51,4,0.46484,0.32617,0.064453,0.25686,88
51,4,0.23047,0,-0.48438,0.25686,63
51,4,0.26758,0.24219,-0.44336,0.25686,67
56,2,0.44727,0.34961,0.068359,0,38
56,2,0.26758,0.3418,-0.37109,0,35
57,23,0.23047,0.30273,-0.36523,0,76
57,23,0.25,0.2832,-0.42969,0,130
57,23,0.26953,0.26172,-0.48633,0,88
57,23,0.23047,0.33594,-0.33398,0.25686,163
57,23,0.23242,0.32617,-0.4082,0.25686,284
57,23,0.26953,0.32422,-0.44922,0.25686,205
57,23,0.53516,0.38086,0.058594,0.25686,92
57,23,0.21484,0.36523,-0.31641,0.51373,61
57,23,0.23242,0.36523,-0.37305,0.51373,112
57,23,0.25,0.37109,-0.42188,0.51373,82
57,23,0.21484,0.20313,-0.4375,-0.25686,40
57,23,0.23242,0.16211,-0.49609,-0.25686,68
57,23,0.41211,0.31836,0.083984,0,62
57,23,0.44727,0.34961,0.066406,0,91
57,23,0.51953,0.31641,0.095703,0,59
57,23,0.41211,0.30859,0.11328,0.25686,135
57,23,0.44727,0.3418,0.10156,0.25686,208
57,23,0.5,0.3457,0.097656,0.25686,141
57,23,0.57617,0.30078,0.10547,0.25686,91
57,23,0.41211,0.30078,0.13281,0.51373,59
57,23,0.44727,0.32422,0.14844,0.51373,89
57,23,0.5,0.32617,0.14844,0.51373,58
57,23,0.44727,0.35547,-0.023438,-0.25686,40
58,3,0.21094,0.32813,-0.47656,0,35
58,3,0.21094,0.375,-0.43945,0.25686,87
58,3,0.5957,0.14258,0.052734,0,18
59,12,0.5,0.15234,0.32422,0,25
59,12,0.47461,0,0.49609,0,82
59,12,0.50586,0,0.63672,0,104
59,12,0.51367,0,0.7207,0,51
59,12,0.46094,0.19141,0.35938,0.25686,66
59,12,0.47461,0,0.49805,0.25686,177
59,12,0.50586,0,0.64844,0.25686,220
59,12,0.53711,0,-0.70117,0.25686,114
59,12,0.47461,0,0.54102,0.51373,99
59,12,0.50586,0,0.67188,0.51373,118
59,12,0.26953,0.41602,-0.36328,0,19
59,12,0.23047,0.52734,-0.2168,0.25686,40
60,2,0.51758,0.24219,-0.0097656,-0.25686,38
60,2,0.30273,0.027344,0.48242,-0.25686,36
61,4,0.23242,0.38086,-0.35742,0.25686,53
61,4,0.25,0.41016,-0.38281,0.25686,55
61,4,0.44727,0.30469,0.1875,0.25686,51
61,4,0.48047,0.35352,0.15039,0.25686,53
62,36,0.19727,0.30859,-0.37891,0,33
62,36,0.21484,0.36328,-0.38477,0,74
62,36,0.23047,0.4043,-0.40234,0,62
62,36,0.53516,0.33984,0.18164,0,71
62,36,0.57227,0.37891,0.1582,0,168
62,36,0.60742,0.42383,0.10352,0,191
62,36,0.19727,0.30273,-0.38477,-0.51373,32
62,36,0.25,0.26953,-0.4375,-0.51373,68
62,36,0.25,0.26563,-0.49609,-0.51373,58
62,36,0.57227,0.40039,0.083984,-0.51373,147
62,36,0.63086,0.40039,0.0097656,-0.51373,166
62,36,0.19727,0.31641,-0.37305,-0.25686,71
62,36,0.23242,0.32227,-0.41016,-0.25686,152
62,36,0.25,0.34766,-0.44141,-0.25686,124
62,36,0.53516,0.35938,0.13477,-0.25686,139
62,36,0.57227,0.39258,0.11523,-0.25686,322
62,36,0.63086,0.39648,0.058594,-0.25686,376
62,36,0.66797,0.42383,-0.0097656,-0.25686,207
62,36,0.41211,0.27539,0.17969,0,29
62,36,0.44727,0.29883,0.19531,0,61
62,36,0.48047,0.28906,0.25195,0,48
62,36,0.24805,0.33398,-0.51172,0,55
62,36,0.28516,0.30469,-0.56641,0,107
62,36,0.30273,0.22461,-0.64453,0,119
62,36,0.41211,0.30859,0.11719,-0.51373,19
62,36,0.44727,0.3457,0.085938,-0.51373,46
62,36,0.48047,0.36914,0.10547,-0.51373,42
62,36,0.30859,0,-0.63281,-0.51373,104
62,36,0.32617,0,-0.72266,-0.51373,109
62,36,0.42773,0.28125,0.125,-0.25686,56
62,36,0.46484,0.31055,0.12305,-0.25686,115
62,36,0.5,0.32227,0.16016,-0.25686,92
62,36,0.26758,0.24023,-0.55273,-0.25686,113
62,36,0.28516,0.20508,-0.60938,-0.25686,220
62,36,0.30273,0,-0.69531,-0.25686,240
62,36,0.32227,0,0.78711,-0.25686,124
63,30,0.19727,0.31836,-0.37109,0,143
63,30,0.21484,0.31641,-0.42383,0,144
63,30,0.23047,0.37891,-0.42578,0,88
63,30,0.51563,0.33008,0.24609,0,191
63,30,0.54883,0.39844,0.18359,0,162
63,30,0.19727,0.20898,-0.44141,-0.51373,161
63,30,0.21484,0.17578,-0.5,-0.51373,161
63,30,0.23047,0.29883,-0.48633,-0.51373,98
63,30,0.51563,0.37695,0.16406,-0.51373,189
63,30,0.54883,0.42773,0.099609,-0.51373,160
63,30,0.21484,0.27344,-0.39648,-0.25686,259
63,30,0.21484,0.25977,-0.46094,-0.25686,264
63,30,0.23047,0.33789,-0.45898,-0.25686,161
63,30,0.51563,0.35742,0.20313,-0.25686,342
63,30,0.54883,0.41602,0.14063,-0.25686,287
63,30,0.41211,0.29297,0.14844,0,106
63,30,0.51758,0.22656,0.085938,0,77
63,30,0.44141,0.24414,0.35156,0,79
63,30,0.24805,0.46289,-0.40039,0,115
63,30,0.26367,0.47266,-0.44922,0,122
63,30,0.44531,0.26953,0.083984,-0.51373,122
63,30,0.51758,0.24219,-0.0039063,-0.51373,98
63,30,0.44141,0.32227,0.28125,-0.51373,71
63,30,0.26758,0.37695,-0.4707,-0.51373,130
63,30,0.26367,0.35156,-0.54883,-0.51373,134
63,30,0.42773,0.2832,0.12109,-0.25686,196
63,30,0.5,0.27344,0.044922,-0.25686,151
63,30,0.44141,0.29492,0.31055,-0.25686,139
63,30,0.24805,0.41992,-0.44336,-0.25686,215
63,30,0.26367,0.41797,-0.5,-0.25686,229
64,15,0.19727,0.19922,0.44727,-0.77059,68
64,15,0.39258,0,-0.51563,-0.77059,120
64,15,0.38477,0,-0.60156,-0.77059,103
64,15,0.19727,0,0.51367,-0.51373,130
64,15,0.39258,0,-0.47266,-0.51373,217
64,15,0.36523,0,-0.56641,-0.51373,178
64,15,0.19727,0.10352,-0.47852,-0.25686,74
64,15,0.375,0.15234,-0.4043,-0.25686,110
64,15,0.36523,0,-0.49805,-0.25686,92
64,15,-0.52734,0,0.03125,-0.77059,57
64,15,-0.61523,0,-0.11914,-0.77059,61
64,15,0.37891,0.080078,0.35742,-0.51373,97
64,15,0.5957,0.11328,-0.10352,-0.51373,118
64,15,0.37891,0.16211,0.32813,-0.25686,59
64,15,0.57617,0.20898,-0.048828,-0.25686,80
65,13,0.41211,0.16797,-0.2832,0,128
65,13,0.42773,0.37305,0.058594,0,68
65,13,0.21484,0.25586,-0.4082,-0.77059,59
65,13,0.39648,0,0.38281,-0.51373,171
65,13,0.42773,0.37695,-0.027344,-0.51373,92
65,13,0.36328,0,0.47266,-0.25686,198
65,13,0.39648,0,0.44336,-0.25686,248
65,13,0.44727,0.35742,0.0097656,-0.25686,131
65,13,-0.46484,0.32031,-0.087891,0,39
65,13,0.39648,0.26563,0.22656,-0.77059,44
65,13,-0.44727,0.17578,-0.31055,-0.51373,49
65,13,-0.4375,0,0.22266,-0.25686,110
65,13,-0.44727,0.29492,-0.19922,-0.25686,77
66,6,0.32227,0.20508,0.10547,0,115
66,6,0.27539,0.20117,0.087891,-0.25686,134
66,6,0.32227,0.21289,0.087891,-0.25686,221
66,6,0.16016,0.20117,-0.30078,0,102
66,6,0.14258,0.21875,-0.23438,-0.25686,128
66,6,0.16016,0.1543,-0.32617,-0.25686,217
67,12,0.25977,0.15234,0.064453,0,103
67,12,0.29688,0.18164,0.052734,0,128
67,12,0.33398,0.20898,0.041016,0,106
67,12,0.25977,0.16016,0.042969,-0.25686,219
67,12,0.29688,0.1875,0.027344,-0.25686,260
67,12,0.33398,0.21289,0.0078125,-0.25686,214
67,12,0.13477,0.070313,-0.26758,0,54
67,12,0.16406,0.125,-0.2832,0,65
67,12,0.19727,0.18945,-0.28516,0,56
67,12,0.13477,0,-0.28711,-0.25686,125
67,12,0.16406,0,-0.31641,-0.25686,142
67,12,0.19727,0.089844,-0.33008,-0.25686,118
76,18,-0.26953,0.14844,-0.0078125,0,214
76,18,-0.30859,0.16992,0.0019531,0,333
76,18,-0.35938,0.16797,-0.0058594,0,237
76,18,-0.26953,0.14844,0.0078125,0.25686,425
76,18,-0.31836,0.14648,0.025391,0.25686,639
76,18,-0.35938,0.16602,0.017578,0.25686,443
76,18,-0.2793,0.12305,0.039063,0.51373,273
76,18,-0.31836,0.14063,0.044922,0.51373,412
76,18,-0.37109,0.13281,0.039063,0.51373,279
76,18,0.2207,0,-0.30664,0,198
76,18,0.25195,0,-0.31641,0,241
76,18,0.28516,0,-0.34375,0,144
76,18,0.23047,0,-0.29688,0.25686,382
76,18,0.25195,0,-0.30078,0.25686,459
76,18,0.28516,0,-0.32422,0.25686,278
76,18,0.2207,0,-0.26953,0.51373,252
76,18,0.24219,0,-0.28125,0.51373,305
76,18,0.27148,0,-0.30078,0.51373,183
77,5,-0.33398,0.21289,-0.0078125,0,240
77,5,-0.28516,0,0.28516,0.25686,410
