Frame,Obj,X,Y,Z,Doppler,Intensity
198,5,-0.24805,3.9102,-0.54883,-0.25686,99
215,5,-0.25,3.9297,-0.70313,0,52
215,5,-0.37109,3.9004,-0.53906,0.25686,76
215,5,-0.25,3.9668,-0.4375,0.25686,101
215,5,-0.25195,4.0156,-0.40039,0.25686,95
215,5,-0.25586,4.0527,-0.46875,0.25686,90
216,2,-0.25,3.9727,-0.39844,0.25686,78
216,2,-0.25195,4.0078,-0.47852,0.25686,97
217,6,-0.25195,3.9648,-0.75586,0,56
217,6,-0.25586,4.0078,-0.76367,0,68
217,6,-0.25195,4.002,-0.51953,0.25686,110
217,6,-0.25586,4.0469,-0.51172,0.25686,130
217,6,-0.38672,4.0898,-0.43359,0.25686,76
217,6,-0.26172,4.1465,-0.41016,0.25686,85
222,2,-0.24805,0.46484,-0.035156,-1.798,17
222,2,0.47852,0,0.48828,-1.798,9
224,2,-0.26367,4.1719,-0.57617,-0.25686,82
224,2,-0.26563,4.2266,-0.48828,-0.25686,83
227,1,-0.26367,4.1953,-0.35352,0.25686,70
228,1,-0.26172,4.1133,-0.66602,0.25686,81
232,2,-0.26172,4.1035,-0.72461,-0.25686,107
232,2,-0.39648,4.1465,-0.66797,-0.25686,114
245,4,-0.52148,4.125,-0.39063,0,50
245,4,-0.52734,4.1563,-0.50195,0,54
245,4,-0.52148,4.0957,-0.62305,-0.25686,111
245,4,-0.52734,4.1406,-0.61914,-0.25686,96
249,4,-0.76563,4.0059,-0.26953,0,53
249,4,-0.50586,3.9395,-0.75781,-0.25686,64
249,4,-0.76563,3.9531,-0.70703,-0.25686,103
249,4,-0.64648,4.0117,-0.74609,-0.25686,90
256,6,-0.76563,3.9922,-0.43164,0,47
256,6,-0.50586,3.959,-0.64844,-0.25686,73
256,6,-0.63867,3.998,-0.56055,-0.25686,98
256,6,-0.64648,4.0195,-0.70898,-0.25686,78
256,6,-2.1719,0,3.5703,0,24
256,6,-2.0215,1.127,3.3145,-0.25686,39
258,7,-0.49414,3.9043,-0.39648,0,78
258,7,-0.5,3.9609,-0.24805,0,94
258,7,-0.50586,4.0098,-0.11328,0,59
258,7,-0.5,3.8906,-0.7793,-0.51373,81
258,7,-0.49414,3.8711,-0.64844,-0.25686,150
258,7,-0.5,3.9277,-0.56445,-0.25686,177
258,7,-0.50586,3.9863,-0.45703,-0.25686,110
259,9,-0.37109,3.9199,-0.38477,0,79
259,9,-0.5,3.9434,-0.44336,0,77
259,9,-0.50586,3.9844,-0.45898,0,52
259,9,-0.48828,3.8184,-0.68945,-0.25686,96
259,9,-0.37109,3.8848,-0.64648,-0.25686,145
259,9,-0.375,3.916,-0.72656,-0.25686,140
259,9,-0.50586,3.9531,-0.67969,-0.25686,92
259,9,-2.0215,0,3.6191,0,30
259,9,-2.0215,0.71484,3.4277,-0.25686,52
260,10,-0.48828,3.8691,-0.29492,0,54
260,10,-0.49414,3.918,-0.2207,0,61
260,10,-0.5,3.9668,-0.072266,0,50
260,10,0.19727,0.36523,0.32422,1.5412,12
260,10,-0.48438,3.7969,-0.5625,-0.25686,61
260,10,-0.36719,3.8633,-0.49219,-0.25686,100
260,10,-0.49414,3.9063,-0.38281,-0.25686,119
260,10,-0.5,3.9609,-0.22852,-0.25686,105
260,10,-0.50586,4.0098,-0.11523,-0.25686,79
260,10,-0.14844,0.26953,-0.42773,1.5412,10
262,2,-0.49414,3.8887,-0.53125,-0.25686,90
262,2,-0.5,3.9023,-0.71875,-0.25686,100
263,1,-0.47852,3.7422,-0.61914,-0.25686,78
267,2,-0.36719,3.8262,-0.72266,0,49
267,2,-0.24805,3.8633,-0.8125,0,45
272,2,-0.47266,3.6973,-0.625,-0.25686,82
272,2,-0.35938,3.7441,-0.68359,-0.25686,85
278,4,-0.36328,3.7754,-0.75391,0,46
278,4,-0.36719,3.8301,-0.70508,0,50
278,4,-0.24219,3.8262,-0.51563,0.25686,75
278,4,-0.24414,3.8672,-0.53711,0.25686,73
279,5,-0.23828,3.7969,-0.38086,0.25686,91
279,5,-0.36328,3.8262,-0.43555,0.25686,107
279,5,-0.24414,3.8691,-0.51953,0.25686,99
279,5,-0.37109,3.9102,-0.47266,0.25686,80
279,5,-0.25,3.9648,-0.45313,0.25686,64
285,2,0,3.877,-0.78906,-0.25686,64
285,2,-0.125,3.9063,-0.84766,-0.25686,74
289,8,-0.23828,3.748,-0.71484,0,49
289,8,-0.12109,3.8047,-0.67969,0,78
289,8,-0.12305,3.8457,-0.70117,0,75
289,8,-0.12305,3.8984,-0.66211,0,43
289,8,-0.23828,3.7891,-0.45703,0.25686,84
289,8,-0.12109,3.8398,-0.44922,0.25686,146
289,8,-0.12305,3.8809,-0.4707,0.25686,145
289,8,-0.12305,3.918,-0.53125,0.25686,82
292,4,-0.23828,3.7715,-0.58984,0,54
292,4,-0.24219,3.8105,-0.61719,0,53
292,4,-0.23828,3.7949,-0.40039,0.25686,110
292,4,-0.36328,3.8262,-0.4375,0.25686,105
293,4,-0.24219,3.7578,-0.88281,0,59
293,4,-0.24414,3.8242,-0.7832,0,58
293,4,-0.24219,3.8184,-0.56445,0.25686,108
293,4,-0.24414,3.8789,-0.44336,0.25686,114
294,3,-0.24414,3.8594,-0.5918,0,52
294,3,-0.36719,3.877,-0.37695,0.25686,104
294,3,-0.24805,3.9258,-0.41797,0.25686,78
301,4,-0.37109,3.9219,-0.35352,0,58
301,4,-0.375,3.9707,-0.29297,0,58
301,4,-0.24805,3.9063,-0.56445,-0.25686,103
301,4,-0.25,3.957,-0.5293,-0.25686,113
303,1,-0.25,3.9688,-0.42773,0.25686,67
304,6,-0.25,3.9453,-0.60156,0,86
304,6,-0.12695,4.002,-0.56641,0,78
304,6,-0.24805,3.9082,-0.55273,0.25686,82
304,6,-0.25,3.9648,-0.46094,0.25686,166
304,6,-0.25195,4.0195,-0.36719,0.25686,155
304,6,-0.375,3.9688,-0.32813,0.51373,72
312,3,-0.25195,3.9941,-0.58008,-0.25686,88
312,3,-0.38281,4.0156,-0.6582,-0.25686,112
312,3,-0.38672,4.0449,-0.74609,-0.25686,84
313,2,-0.25781,4.1094,-0.3418,-0.25686,71
313,2,-0.39063,4.1387,-0.39844,-0.25686,67
320,1,-0.39648,4.1426,-0.70117,-0.25686,62
322,2,-0.38281,4.0645,-0.18164,0,44
322,2,-0.37891,4.0195,-0.21289,-0.25686,80
325,1,-0.37891,3.9277,-0.87891,-0.25686,65
327,2,0.46094,0.21875,0.13281,1.5412,13
327,2,0.033203,0.51172,0.11914,1.5412,9
334,3,-0.48828,3.8242,-0.65625,0,53
334,3,-0.37109,3.8828,-0.65625,0,48
334,3,-0.48828,3.8457,-0.52148,-0.25686,78
336,5,-0.48828,3.8652,-0.34961,0,47
336,5,-0.48438,3.7773,-0.67969,-0.25686,79
336,5,-0.48828,3.7949,-0.81641,-0.25686,93
336,5,-0.49414,3.8203,-0.90039,-0.25686,75
336,5,-1.9785,1.498,3.0801,-0.25686,41
337,6,-0.48438,3.8223,-0.33594,0,59
337,6,-0.48828,3.8691,-0.31445,0,71
337,6,-0.49414,3.9004,-0.42773,0,61
337,6,-0.48438,3.7832,-0.63867,-0.25686,102
337,6,-0.48828,3.8418,-0.54492,-0.25686,133
337,6,-0.49414,3.8789,-0.59961,-0.25686,119
338,3,-0.61133,3.8496,-0.33398,0,43
338,3,-0.48438,3.791,-0.59766,-0.25686,78
338,3,-0.48828,3.8281,-0.63672,-0.25686,79
340,2,-0.4668,3.6816,-0.42773,-0.25686,71
340,2,-0.35352,3.7324,-0.47461,-0.25686,67
343,1,-0.34961,3.709,-0.2793,0.25686,75
345,8,-0.47266,3.6855,-0.69531,0,51
345,8,-0.47852,3.7266,-0.70898,0,63
345,8,-0.36328,3.7988,-0.62305,0,50
345,8,-0.35352,3.7246,-0.53516,0.25686,60
345,8,-0.35938,3.7637,-0.57227,0.25686,84
345,8,-0.24219,3.8164,-0.58398,0.25686,66
345,8,-1.8125,0,-3.7598,0,28
345,8,-1.8125,0,3.7539,0.25686,39
349,3,-0.35938,3.7852,-0.40234,0,55
349,3,-0.35938,3.7988,-0.24805,0.25686,97
349,3,-0.36328,3.834,-0.36523,0.25686,93
350,3,-0.47266,3.6641,-0.79883,0,54
350,3,-0.35938,3.748,-0.66211,0,44
350,3,-0.35352,3.7246,-0.5332,0.25686,89
358,6,-0.59766,3.7363,-0.55273,-0.25686,59
358,6,-0.60352,3.7871,-0.50977,-0.25686,75
358,6,-0.61133,3.8223,-0.56055,-0.25686,74
358,6,-0.61719,3.8887,-0.37305,-0.25686,62
358,6,-2.0547,0,3.3203,-0.25686,40
358,6,-1.9551,0,3.541,-0.25686,39
361,1,-0.50586,3.998,-0.32813,0.25686,87
381,2,-0.58398,3.6855,-0.16602,-0.25686,77
381,2,-0.58984,3.7285,-0.18555,-0.25686,79
382,6,-0.70117,3.6523,-0.35742,0,51
382,6,-0.70898,3.7051,-0.23633,0,55
382,6,-0.70117,3.6406,-0.45898,-0.25686,102
382,6,-0.70898,3.6777,-0.51367,-0.25686,112
382,6,-0.7168,3.707,-0.60156,-0.25686,74
382,6,-0.61719,3.8613,-0.58984,-0.25686,88
383,6,-0.80664,3.582,-0.37695,0,69
383,6,-0.81641,3.6191,-0.44141,0,66
383,6,-0.68359,3.5137,-0.69922,-0.25686,78
383,6,-0.69141,3.5684,-0.64258,-0.25686,136
383,6,-0.70117,3.6074,-0.67188,-0.25686,128
383,6,-0.70898,3.6543,-0.65234,-0.25686,81
387,1,-0.42773,0,-0.54492,-1.0275,20
389,2,-0.68359,3.5703,-0.31445,-0.25686,98
389,2,-0.80664,3.5703,-0.48047,-0.25686,104
394,1,-0.55664,3.4688,-0.57031,-0.25686,81
400,2,-0.54883,3.4473,-0.42188,0.25686,83
400,2,-0.66797,3.4668,-0.45898,0.25686,111
407,2,-0.45508,3.5762,-0.56055,-0.25686,69
407,2,-1.8242,0,3.3887,-0.25686,37
409,2,-0.44531,3.4746,-0.63086,0.25686,83
