Frame,Obj,X,Y,Z,Doppler,Intensity
1,9,0.25586,2.6211,-0.70117,1.0275,208
1,9,0.3457,2.6152,-0.83789,1.0275,199
1,9,-0.3457,2.5723,-0.9668,-2.0549,134
1,9,0.52734,2.459,1.2617,-2.0549,147
1,9,-0.17383,2.7109,-0.53516,-1.798,152
1,9,-0.68164,0.72656,2.5371,1.0275,115
1,9,0.7793,1.9219,1.834,-2.0549,118
1,9,-0.43945,2.3027,-1.5566,-2.0549,135
1,9,0.86523,1.5352,2.1367,-1.798,86
2,9,-0.087891,0.59375,2.748,1.798,216
2,9,0.43359,2.6094,0.81836,-2.0549,182
2,9,0.35156,2.7891,0.10742,-2.0549,196
2,9,0.25586,2.7129,-0.054688,-1.0275,198
2,9,0.17383,2.752,-0.25195,-1.0275,234
2,9,-0.51953,2.0664,-1.7695,-2.0549,148
2,9,-0.70313,1.2402,-2.4258,-2.0549,157
2,9,-0.68164,1.0195,-2.4336,-1.0275,126
2,9,-0.7793,0,-2.7129,-1.0275,154
3,4,0.33984,2.625,-0.64258,-1.0275,165
3,4,0.25977,2.6797,-0.65039,-1.0275,137
3,4,-0.68164,1.4922,2.1758,-1.0275,112
3,4,-0.7793,1.5859,2.1309,-1.0275,104
4,5,0.16992,2.7168,-0.10742,1.0275,159
4,5,-0.3457,2.7324,-0.28906,-2.0549,162
4,5,-0.43359,2.6875,-0.50195,-1.798,140
4,5,0.60547,0.33594,-2.6816,-2.0549,145
4,5,0.60547,1.2324,2.4043,-1.798,137
5,2,0.16992,2.6387,-0.66016,-1.0275,145
5,2,0.085938,2.7266,-0.47656,-1.0275,131
7,4,0.43359,2.7285,-0.20117,0.77059,141
7,4,0.3457,2.748,0.0097656,1.0275,164
7,4,-0.60547,0.51953,2.6523,0.77059,108
7,4,-0.69141,0.10352,-2.6797,1.0275,124
9,2,0.085938,2.7227,-0.076172,-1.0275,157
9,2,0.085938,2.7578,-0.22852,-1.0275,176
10,4,0.60547,1.9922,1.8262,-2.0549,116
10,4,0.43945,2.0645,-1.8594,-1.0275,161
10,4,-0.43359,2.6348,-0.73633,-2.0549,114
10,4,-0.61523,2.5156,1.0996,-1.0275,134
11,6,-0.25977,1.2793,2.4414,1.0275,145
11,6,0.16992,2.7188,0.0019531,-1.0275,150
11,6,0.17383,2.7578,-0.17188,-1.0275,159
11,6,0.69141,2.6797,-0.056641,1.0275,80
11,6,-0.76563,1.1523,-2.3477,-1.0275,81
11,6,-0.86523,0,-2.6836,-1.0275,81
12,2,-0.43945,2.541,-1.123,-2.0549,135
12,2,0.70313,2.0098,1.8379,-2.0549,102
13,4,-0.3457,2.543,-1.0391,-2.0549,168
13,4,0,2.748,-0.34375,-1.0275,206
13,4,0,2.7363,-0.6543,-1.0275,191
13,4,0.69141,2.1855,1.5527,-2.0549,141
14,10,-0.43359,1.6973,2.1445,1.0275,135
14,10,0.52734,2.7207,-0.48633,1.0275,160
14,10,0.43945,2.7383,-0.4707,1.2843,135
14,10,0.25586,2.7129,-0.072266,-1.0275,206
14,10,0.17383,2.7461,-0.31641,-1.0275,199
14,10,0.60547,2.6504,-0.52148,1.0275,133
14,10,-0.52734,1.9316,1.9766,1.0275,114
14,10,-0.61523,1.7813,2.0879,1.2843,70
14,10,-0.68164,0.49219,-2.5918,-1.0275,119
14,10,-0.7793,0,2.7539,-1.0275,118
15,8,0.25977,2.7168,-0.46484,0.25686,149
15,8,-0.3457,2.7344,-0.26953,-2.0549,141
15,8,0.52734,1.0039,-2.5742,-2.0549,165
15,8,0.3457,2.6602,-0.68945,-1.0275,150
15,8,-0.7793,0.082031,2.6563,0.25686,94
15,8,0.69141,0.78711,2.5625,-2.0549,106
15,8,-0.52734,2.7402,0.34961,-2.0549,145
15,8,-0.69141,1.7422,2.0371,-1.0275,118
16,2,0.3457,2.7402,-0.19922,0.25686,119
16,2,-0.7793,0.90039,2.5,0.25686,65
17,1,0,2.7363,-0.6543,-2.0549,179
19,3,-0.25977,2.6602,-0.72656,-2.0549,176
19,3,0,2.748,-0.3418,-1.0275,152
19,3,0.69141,2.082,1.6875,-2.0549,117
20,6,0.43945,2.7051,-0.63281,1.0275,166
20,6,0.25586,2.6953,-0.3125,-1.0275,227
20,6,0.25977,2.7246,-0.41602,-1.0275,227
20,6,-0.52734,1.3086,2.4336,1.0275,116
20,6,-0.68164,0,2.6914,-1.0275,138
20,6,-0.7793,0.63477,2.5801,-1.0275,150
21,3,0.16992,2.7031,0.29297,1.0275,143
21,3,-0.17383,2.7402,-0.36328,-2.0549,159
21,3,0.86523,0.17578,2.625,-2.0549,81
22,2,0.25586,2.7129,0.074219,1.0275,139
22,2,-0.76563,0,-2.625,1.0275,88
24,6,0.33984,2.6523,-0.52344,1.0275,152
24,6,-0.43359,0.94922,-2.5645,1.0275,168
24,6,0.085938,2.7129,-0.54688,-1.0275,141
24,6,-0.5957,0.73047,2.5566,1.0275,105
24,6,0.3457,2.6543,-0.70898,1.0275,155
24,6,-0.86523,1.7598,1.9551,-1.0275,87
25,6,0,2.7168,-0.21094,-1.0275,153
25,6,0.085938,2.7129,-0.54883,-1.0275,170
25,6,0.26367,2.4805,-1.2988,-1.0275,162
25,6,0.25977,2.6465,-0.76953,-0.77059,139
25,6,-0.70313,2.3867,1.3105,-1.0275,107
25,6,-0.7793,1.9004,1.8574,-0.77059,76
26,7,-0.3457,0.66602,2.666,1.0275,151
26,7,0.52734,2.7207,-0.47656,1.0275,156
26,7,-0.26367,2.6953,-0.76172,-2.0549,169
26,7,0.085938,2.7168,-0.52539,-1.0275,204
26,7,0.60547,2.6836,-0.32031,1.0275,140
26,7,-0.52734,1.4512,2.3516,1.0275,113
26,7,0.70313,2.0234,1.8223,-2.0549,109
29,2,0.16992,2.7012,-0.3125,-1.0275,162
29,2,0.085938,2.7422,-0.36914,-1.0275,186
30,2,-0.43945,1.6426,2.2402,1.0275,132
30,2,0.52734,2.6211,-0.87305,1.0275,128
31,9,-0.3457,2.5508,-1.0215,-2.0549,181
31,9,0.35156,2.7656,0.37305,-2.0549,194
31,9,0.16992,2.7188,-0.0097656,-1.0275,180
31,9,0.085938,2.7539,-0.26563,-1.0275,217
31,9,0.087891,2.7285,-0.67969,-1.0275,155
31,9,0.085938,2.7559,-0.25977,-0.77059,134
31,9,0.51953,2.4961,1.082,-2.0549,142
31,9,-0.43945,2.3164,-1.5352,-2.0549,167
31,9,-2.5488,1.1055,-0.4375,-1.0275,79
32,8,-0.25977,2.7441,0.25977,-2.0549,152
32,8,-0.43945,2.7773,0.054688,-2.0549,170
32,8,0.25586,2.7012,-0.24609,-1.0275,222
32,8,0.3457,2.7285,-0.31641,-1.0275,210
32,8,0.7793,0,-2.6992,-2.0549,99
32,8,0.52734,1.3633,2.4043,-2.0549,138
32,8,-0.68164,0,-2.6973,-1.0275,127
32,8,-0.7793,0.048828,2.6563,-1.0275,129
33,4,0.17383,2.752,-0.26172,0.25686,148
33,4,0.16992,2.6973,-0.3418,1.0275,209
33,4,-0.3457,2.7344,-0.25586,-2.0549,136
33,4,0.60547,0,2.7246,-2.0549,127
34,2,0.26367,2.7012,-0.74219,-2.0549,165
34,2,-0.79102,1.4355,2.2852,-2.0549,121
36,6,0.25586,2.6387,-0.63477,1.0275,178
36,6,0.17383,2.5859,-0.97656,1.0275,208
36,6,0.43945,2.6934,-0.67969,1.0275,157
36,6,-0.51172,0.89844,-2.5215,1.0275,124
36,6,0.3457,2.6738,-0.63281,1.0275,207
36,6,-0.43945,0,-2.7988,1.0275,148
37,5,-0.3457,1.1445,2.498,1.0275,128
37,5,-0.085938,2.7188,-0.52148,-2.0549,159
37,5,0,2.793,-0.33984,-2.0549,163
37,5,0,2.752,-0.31445,-1.0275,174
37,5,0.69141,2.5957,-0.66992,1.0275,85
38,4,0.25586,2.7051,-0.20703,-1.0275,218
38,4,0.3457,2.709,-0.45898,-1.0275,227
38,4,-0.68164,0.55469,-2.5801,-1.0275,136
38,4,-0.69141,0,2.7129,-1.0275,154
39,3,0.16992,2.707,-0.25586,1.0275,192
39,3,-0.25977,2.752,-0.14844,-2.0549,143
39,3,0.60547,1.541,-2.2188,-2.0549,125
42,8,0.25586,2.7129,-0.058594,1.0275,158
42,8,0.3457,2.7383,-0.21094,1.0275,146
42,8,0.3457,2.6289,-0.79492,-1.0275,181
