Frame,Obj,X,Y,Z,Doppler,Intensity
2023,2,-0.51172,0,0.19336,-2.0549,12
2023,2,0.26367,0.31445,-0.33008,-2.0549,9
2026,8,0.33008,0.3457,-0.22461,0.25686,21
2026,8,0.16016,0.53516,0.11914,0.25686,22
2026,8,0.51172,0,0.16016,-0.25686,22
2026,8,0.089844,0.55859,0.076172,-0.25686,23
2026,8,0.048828,0.45898,0.25391,0.25686,13
2026,8,0.35742,0.36328,-0.25977,0.25686,21
2026,8,0.066406,0.50977,0.11523,-0.25686,20
2026,8,0.35742,0.30078,-0.32813,-0.25686,16
25,34,0.13281,0.50195,0.09375,0,42
25,34,-0.41016,0.35156,0.18555,0,52
25,34,-0.42383,0.42773,0.12695,0,31
25,34,0.13281,0.48828,0.15039,0.25686,72
25,34,0.125,0.53516,0.1582,0.25686,75
25,34,0.11523,0.57813,0.17773,0.25686,47
25,34,0.13281,0.48047,0.17383,0.51373,29
25,34,0.125,0.52539,0.18945,0.51373,31
25,34,0.13281,0.50781,0.046875,-0.51373,54
25,34,-0.39258,0.39844,0.11719,-0.51373,59
25,34,-0.42383,0.42773,0.12891,-0.51373,36
25,34,0.39844,0.0625,0.17578,-0.25686,72
25,34,0.15039,0.31445,-0.33594,-0.25686,99
25,34,0.13281,0.50586,0.066406,-0.25686,139
25,34,-0.41016,0.36719,0.15234,-0.25686,160
25,34,-0.44141,0.41602,0.099609,-0.25686,92
25,34,0.25586,1.2949,0.3418,-0.25686,55
25,34,0.39648,0,-0.41016,0,38
25,34,0.41016,0,-0.44727,0,41
25,34,0.44141,0,-0.4668,0,24
25,34,0.37891,0.21094,-0.30078,0.25686,60
25,34,-0.41016,0.32031,0.23438,0.25686,73
25,34,-0.44141,0.37891,0.19922,0.25686,39
25,34,0.39648,0.11523,-0.32813,0.51373,21
25,34,-0.41016,0.23242,0.32227,0.51373,26
25,34,0.41211,0,-0.47852,-0.51373,44
25,34,0.14258,0.55273,0.025391,-0.51373,52
25,34,0.17383,0.58984,-0.025391,-0.51373,29
25,34,0.13672,0.33789,-0.24414,-0.25686,61
25,34,0.4082,0.1543,0.20898,-0.25686,96
25,34,0.39648,0,-0.41797,-0.25686,120
25,34,0.14258,0.55078,0.056641,-0.25686,137
25,34,0.46094,0,-0.50977,-0.25686,79
25,34,-0.89453,1.0156,0.16211,-0.25686,29
26,30,-0.34766,0.23633,0.23828,0,234
26,30,-0.3457,0.30469,0.25586,0,358
26,30,-0.375,0.32031,0.28906,0,229
26,30,-0.38477,0.36523,0.3125,0,53
26,30,0.24805,1.1797,0.5332,0,60
26,30,-0.33203,0.30078,0.18164,-0.51373,221
26,30,-0.3457,0.34766,0.19141,-0.51373,335
26,30,-0.35742,0.38477,0.22656,-0.51373,215
26,30,-0.36523,0.39453,0.30078,-0.51373,57
26,30,-0.33203,0.28125,0.21094,-0.25686,443
26,30,-0.3457,0.32813,0.22461,-0.25686,665
26,30,-0.375,0.34766,0.25391,-0.25686,432
26,30,-0.36523,0.39453,0.29883,-0.25686,109
26,30,0.24805,1.2168,0.44141,-0.25686,105
26,30,0.25586,1.2617,0.44336,-0.25686,75
26,30,0.12109,0.41406,0.21875,0,224
26,30,0.41211,0.18359,-0.27344,0,287
26,30,0.16016,0.49219,0.24023,0,156
26,30,-0.019531,0.58008,0.20313,0,45
26,30,0.98828,0,-0.88867,0,42
26,30,0.37695,0.041016,-0.29883,-0.51373,210
26,30,0.41211,0,-0.33789,-0.51373,262
26,30,0.46484,0,-0.38281,-0.51373,143
26,30,0.53906,0,0.4082,-0.51373,41
26,30,0.12109,0.42773,0.19141,-0.25686,406
26,30,0.41211,0.13086,-0.30273,-0.25686,524
26,30,0.46484,0,-0.33984,-0.25686,288
26,30,0,0.60156,0.13281,-0.25686,83
26,30,-0.49414,0.82422,-0.90234,-0.25686,69
26,30,-0.51172,0.96484,-0.81641,-0.25686,58
27,18,-0.3457,0.375,0.13672,0,67
27,18,-0.41016,0.39648,0.027344,0,29
27,18,0.2793,1.1426,0.48828,0,51
27,18,-0.36328,0.29883,-0.24023,0.25686,36
27,18,-0.3457,0.38477,0.097656,-0.51373,57
27,18,-0.31641,0.3125,0.18945,-0.25686,179
27,18,-0.3457,0.36523,0.1582,-0.25686,130
27,18,-0.39258,0.41406,0.019531,-0.25686,55
27,18,0.2793,1.1777,0.39844,-0.25686,98
27,18,0.41211,0,-0.40625,0,48
27,18,-0.21484,0.019531,0.5293,0,24
27,18,0.87695,0.48242,-0.78906,0,34
27,18,0.16406,0.49609,0.072266,0.25686,21
27,18,0.42773,0,-0.48828,-0.51373,43
27,18,0.39258,0,-0.36914,-0.25686,119
27,18,0.14844,0.5,0.083984,-0.25686,100
27,18,-0.21484,0.25977,0.46094,-0.25686,45
27,18,0.91602,0.22461,-0.85742,-0.25686,68
28,28,-0.22266,0.32227,-0.056641,0,83
28,28,-0.24805,0.36133,-0.039063,0,204
28,28,-0.27148,0.39844,-0.025391,0,269
28,28,-0.3125,0.42383,-0.021484,0,177
28,28,-0.32227,0.4707,-0.044922,0,59
28,28,-0.32227,0,-0.23242,0.25686,252
28,28,-0.24805,0.36328,-0.019531,0.25686,483
28,28,-0.27148,0.40039,-0.0078125,0.25686,620
28,28,-0.3125,0.42383,-0.0058594,0.25686,401
28,28,-0.32227,0.4707,-0.033203,0.25686,134
28,28,-0.24805,0.36328,0.017578,0.51373,183
28,28,-0.27148,0.39844,0.03125,0.51373,241
28,28,-0.3125,0.42383,0.029297,0.51373,157
28,28,-0.32227,0.47266,0.0019531,0.51373,50
28,28,-0.2793,0.43164,-0.11523,-0.51373,29
28,28,-0.24805,0.34961,-0.099609,-0.25686,160
28,28,-0.25781,0.39844,-0.095703,-0.25686,173
28,28,-0.2793,0.42969,-0.12109,-0.25686,101
28,28,-0.30273,0.44727,-0.18359,-0.25686,32
28,28,-0.3457,0,-0.36523,0,75
28,28,-0.39844,0,0.42383,0,121
28,28,-0.23438,0.31641,-0.042969,0.25686,230
28,28,-0.38477,0,-0.38086,0.25686,329
28,28,-0.39844,0,-0.36719,0.51373,120
28,28,-0.46094,0,0.50781,-0.51373,17
28,28,-0.33008,0.083984,-0.2793,-0.25686,157
28,28,-0.42383,0,-0.48242,-0.25686,104
28,28,0.35742,0.36328,-0.25977,-0.25686,20
29,20,-0.23438,0.37109,-0.03125,0,161
29,20,-0.24219,0.41602,-0.050781,0,171
29,20,-0.24805,0.46094,-0.070313,0,119
29,20,-0.26758,0.50195,0.052734,0,109
29,20,-0.25,0.5625,0,0,64
29,20,-0.2207,0.38086,0.015625,0.25686,418
29,20,-0.25781,0.4082,-0.027344,0.25686,456
29,20,-0.24805,0.46484,-0.039063,0.25686,335
29,20,-0.26758,0.49414,0.10352,0.25686,276
29,20,-0.26953,0.55078,0.052734,0.25686,152
29,20,-0.23438,0.37109,0.029297,0.51373,160
29,20,-0.24219,0.41797,0.0078125,0.51373,173
29,20,-0.26367,0.45703,0.0019531,0.51373,130
29,20,-0.28516,0.47852,0.12305,0.51373,106
29,20,-0.28906,0.53711,0.085938,0.51373,59
29,20,-0.26367,0.43555,-0.13477,-0.51373,38
29,20,-0.28906,0.31445,-0.10547,-0.25686,250
29,20,-0.27148,0.38672,-0.099609,-0.25686,208
29,20,-0.26367,0.44531,-0.10352,-0.25686,130
29,20,-0.28516,0.49219,0.056641,-0.25686,81
30,60,-0.23438,0.31445,-0.046875,0,239
30,60,-0.24805,0.35938,-0.048828,0,544
30,60,-0.25781,0.40625,-0.056641,0,610
30,60,-0.26367,0.44727,-0.09375,0,377
30,60,-0.19727,0.48047,-0.24023,0,194
30,60,-0.1543,0.53906,-0.25195,0,108
30,60,-0.22656,0.61914,-0.029297,0,45
30,60,-0.24805,0.30664,-0.027344,0.25686,706
30,60,-0.24805,0.36328,-0.021484,0.25686,1514
30,60,-0.25781,0.4082,-0.029297,0.25686,1589
30,60,-0.26367,0.45313,-0.058594,0.25686,899
30,60,-0.21484,0.49609,-0.18555,0.25686,426
30,60,-0.17383,0.54102,-0.23438,0.25686,254
30,60,-0.18555,0.59766,-0.20898,0.25686,85
30,60,-0.23438,0.31836,0,0.51373,257
30,60,-0.24805,0.36328,0.0078125,0.51373,561
30,60,-0.25781,0.41016,0.0039063,0.51373,605
30,60,-0.26367,0.45508,-0.029297,0.51373,367
30,60,-0.21484,0.50781,-0.14844,0.51373,195
30,60,-0.19141,0.55664,-0.17773,0.51373,114
30,60,-0.2793,0.44531,0.023438,0.77059,33
30,60,0.13281,0.4375,0.26172,1.2843,22
30,60,0.26953,0.52539,0.17578,-1.5412,28
30,60,0.26758,0.54883,0.24609,-1.5412,38
30,60,-0.32617,0.47852,0.20898,-1.2843,27
30,60,2.084,2.0156,-0.046875,-1.0275,122
30,60,2.0254,2.1055,-0.37305,-1.0275,137
30,60,2.8027,0.2832,1,-1.0275,90
30,60,-0.24805,0.43945,-0.1543,-0.77059,32
30,60,2.084,1.957,0.49023,-0.77059,122
30,60,2.209,1.8848,0.48828,-0.77059,133
30,60,2.4277,1.5664,0.76367,-0.77059,60
30,60,-0.24805,0.3457,-0.11133,-0.51373,188
30,60,-0.25781,0.39063,-0.12695,-0.51373,179
30,60,-0.26367,0.42969,-0.1543,-0.51373,85
30,60,-0.19727,0.27148,-0.46289,-0.51373,40
30,60,0.13477,0.57422,-0.17578,-0.51373,49
30,60,-0.23438,0.30859,-0.078125,-0.25686,297
30,60,-0.26172,0.34375,-0.083984,-0.25686,592
30,60,-0.27148,0.38672,-0.097656,-0.25686,552
30,60,-0.26367,0.44141,-0.11914,-0.25686,257
30,60,-0.21484,0.43945,-0.29492,-0.25686,92
30,60,-0.19141,0.22656,0.53906,-0.25686,72
30,60,0.13477,0.4043,-0.44336,0,77
30,60,0.12305,0.58594,-0.27734,0,39
30,60,-0.45313,0.087891,0.4707,0.25686,59
30,60,-0.16406,0.41602,-0.27734,1.2843,19
30,60,-0.32617,0.49414,0.16602,-1.5412,27
30,60,-0.37109,0.50586,0.20508,-1.5412,35
30,60,0.23047,0.50586,0.26563,-1.2843,21
30,60,-2.8105,0,1.9961,-1.0275,82
30,60,2.5762,1.1992,0.77148,-1.0275,131
30,60,1.9609,2.0313,-0.97852,-1.0275,74
30,60,-2.5391,0,-2.709,-0.77059,84
30,60,2.0254,2.1094,0.35352,-0.77059,131
30,60,1.9609,2.248,-0.17773,-0.77059,58
30,60,0.10742,0.55078,-0.11133,-0.51373,37
30,60,0.42383,0,0.46289,-0.51373,43
30,60,0.41016,0,-0.48633,-0.25686,56
30,60,0.095703,0.58789,-0.1543,-0.25686,65
31,64,-0.30273,0.25977,-0.18555,0,149
31,64,-0.19727,0.44141,0.015625,0,299
31,64,-0.21484,0.48047,0.039063,0,395
31,64,-0.21484,0.52734,0.052734,0,251
