Frame #,# Obj,X,Y,Z,Doppler,Intensity
887,2,-0.37891,0.33789,0.14453,-1.2843,16
887,2,0.23047,0.47266,0.039063,-1.2843,14
3,2,-0.3457,0,-0.4043,1.798,15
3,2,-0.18164,0.49219,0.056641,1.798,12
6,8,-0.46094,0,0.45313,0.77059,12
6,8,-0.47852,0,0.33789,1.0275,16
6,8,-0.51758,0,0.30273,1.0275,16
6,8,0,0.5625,0.10547,-1.5412,10
6,8,0.37891,0,0.37695,0.77059,11
6,8,0.37891,0.15625,0.33203,1.0275,11
6,8,0.42773,0,0.56055,1.0275,10
6,8,0.51758,0.23828,-0.041016,-1.5412,10
7,2,-0.33008,0.22266,0.3457,1.0275,15
7,2,0.2793,0.31836,0.3125,1.0275,11
8,2,-0.42773,0.29688,0.23438,-1.798,14
8,2,-0.19727,0.37891,0.38086,-1.798,10
9,3,0.19727,0.48828,-0.019531,0.77059,15
9,3,-0.2793,0.26758,0.35742,-0.51373,17
9,3,-0.39648,0,-0.37109,0.77059,15
10,12,-0.48242,0,-0.41602,0.51373,11
10,12,-0.24805,0,0.51563,0.77059,12
10,12,-0.26758,0,0.54883,0.77059,13
10,12,-0.2793,0.080078,-0.43945,1.0275,11
10,12,-0.29688,0,-0.47852,1.2843,13
10,12,-0.21484,0.48047,-0.023438,-0.77059,9
10,12,-0.26758,0.30078,0.40625,0.51373,10
10,12,0.16406,0.46094,-0.19727,0.77059,9
10,12,0.19727,0.50781,-0.17383,0.77059,10
10,12,0.21484,0.30664,-0.37109,1.0275,9
10,12,-0.13281,0.49805,0.11133,1.2843,9
10,12,0.41211,0,0.49219,-0.77059,8
11,2,-0.29688,0.43555,-0.029297,-1.5412,10
11,2,0.29688,0.41602,0.12891,-1.5412,8
15,2,0,0.27539,0.44922,1.5412,11
15,2,0.41211,0.28906,-0.1582,1.5412,9
16,6,0.048828,0.27539,-0.44727,-1.5412,10
16,6,-0.26758,0.50391,0.029297,-1.5412,12
16,6,-0.28516,0.48828,0.078125,-1.2843,15
16,6,-0.26367,0.42578,-0.16797,-1.5412,10
16,6,0.089844,0.21484,-0.52148,-1.5412,10
16,6,0.072266,0.2793,-0.49414,-1.2843,9
20,4,0,0.51758,-0.095703,0,7
20,4,-0.19727,0,-0.50977,-1.2843,11
20,4,-0.39648,0.18359,0.29688,0,6
20,4,0.11523,0.14258,0.49414,-1.2843,6
21,2,0.125,0.47852,0.28516,-1.2843,11
21,2,0.51758,0.23828,-0.039063,-1.2843,11
22,2,0.14258,0.41992,-0.35938,0.51373,11
22,2,0.53516,0,-0.21094,0.51373,10
28,2,-0.26367,0,0.48438,-1.798,15
28,2,0.099609,0.51758,0.029297,-1.798,10
29,2,-0.37891,0.24414,0.27344,1.5412,10
29,2,-0.19727,0.4707,-0.13281,1.5412,9
30,2,-0.3457,0,-0.51953,1.2843,10
30,2,-0.082031,0.24219,-0.46094,1.2843,7
31,4,0.14844,0.50586,0.019531,-1.5412,9
31,4,-0.42773,0.17578,-0.25195,-1.2843,9
31,4,0.3125,0.24609,-0.3457,-1.5412,9
31,4,0.14844,0.50586,-0.015625,-1.2843,8
32,2,-0.3125,0.095703,-0.41406,-1.5412,13
32,2,0.033203,0.34766,0.39453,-1.5412,7
33,10,0.36328,0.30859,-0.22852,0.25686,14
33,10,0.10742,0.50781,0.23633,0.25686,14
33,10,-0.29688,0.43555,-0.0097656,1.798,11
33,10,-0.44531,0,-0.4668,-0.25686,17
33,10,0.28516,0.15234,-0.4707,-0.25686,18
33,10,0.11523,0.38477,0.3418,0.25686,12
33,10,0.35742,0.38086,-0.23047,0.25686,10
33,10,-0.11523,0.34375,0.38477,1.798,9
33,10,-0.29688,0.43555,0.027344,-0.25686,14
33,10,-0.51758,0,0.48828,-0.25686,14
34,20,0.41211,0.091797,0.12109,0,35
34,20,0.39648,0.14453,-0.31836,0,16
34,20,0.36328,0,0.50586,0.25686,23
34,20,0.37891,0.36328,-0.050781,1.0275,9
