Frame, Obj,X,Y,Z,Doppler,Intensity
1,2,-0.16406,0.47656,0.1543,-1.5412,14
1,2,0.015625,0.48047,-0.21484,-1.5412,10
11,2,-0.44531,0.16797,0.22656,0,8
11,2,0.13281,0.46289,-0.21289,0,6
13,13,0.32227,0,0.54492,0,9
13,13,0.3457,0.10547,-0.49805,0,11
13,13,0.63867,0,0.375,0,18
13,13,0.39648,0.20703,0.2793,-0.25686,21
13,13,0.41016,0,0.4707,-0.25686,18
13,13,0.57617,0,0.25391,-0.25686,22
13,13,-0.66016,0,0.41211,-0.25686,40
13,13,-0.66016,0,-0.41016,-0.25686,41
13,13,-0.32227,0,-0.5,0,8
13,13,0.5957,0,0.23633,0,9
13,13,-0.066406,0.52344,0.025391,-0.25686,13
13,13,0.072266,0.56641,0.0058594,-0.25686,12
13,13,0.36523,0,-0.51953,-0.25686,20
14,18,0.51172,0.11914,0.054688,0,22
14,18,0.55273,0,0.18359,0,25
14,18,0.57617,0,0.39258,0,32
14,18,0.63867,0.14063,0.083984,0,40
14,18,1.1953,2.6895,-0.044922,0.25686,73
14,18,0.51172,0.12305,0.046875,-0.51373,17
14,18,-0.57227,0,0.2168,-0.51373,23
14,18,-0.52734,0,0.033203,-0.25686,34
14,18,0.55273,0,0.16992,-0.25686,40
14,18,0.57617,0,0.31055,-0.25686,56
14,18,0.63867,0.15625,0.046875,-0.25686,73
14,18,-0.70313,0,0.10938,-0.25686,47
14,18,0.33008,0,-0.41406,0,12
14,18,0.33984,0.18555,-0.41992,0,14
14,18,0.33008,0,0.49805,-0.51373,11
14,18,-0.017578,0.56445,-0.080078,-0.51373,13
14,18,0.33008,0,-0.50391,-0.25686,22
14,18,0.35742,0,-0.49805,-0.25686,25
15,14,-0.46094,0.25195,-0.039063,0,32
15,14,-0.55273,0.12695,-0.064453,0,17
15,14,-0.46094,0.23438,-0.099609,-0.51373,25
15,14,-0.26758,0,0.56055,-0.51373,19
15,14,0.39258,0,-0.48047,-0.25686,78
15,14,-0.44531,0.27734,-0.052734,-0.25686,56
15,14,-0.53516,0.17773,-0.089844,-0.25686,32
15,14,0.082031,0.52148,0.011719,0,25
15,14,0.035156,0.57031,-0.025391,0,14
15,14,0.39648,0,0.45898,-0.51373,24
15,14,-0.57227,0,-0.089844,-0.51373,18
15,14,-0.39258,0.28125,-0.019531,-0.25686,68
15,14,0.39648,0,0.50781,-0.25686,53
15,14,0.052734,0.5625,-0.083984,-0.25686,27
16,16,1.1367,2.8105,0,0,36
16,16,1.25,2.8105,-0.044922,0,62
16,16,1.1699,2.8926,0.019531,0,38
16,16,1.1367,2.8047,0.18359,0.25686,73
16,16,1.1543,2.8457,0.20117,0.25686,121
16,16,1.1699,2.8691,0.375,0.25686,76
16,16,1.1543,2.8203,0.42578,0.51373,91
16,16,1.1699,2.8418,0.53906,0.51373,62
16,16,0,1.2129,-2.7793,0,20
16,16,0.095703,1.0469,-2.8926,0,35
16,16,0.097656,1.0332,-2.9434,0,26
16,16,0,0.57422,2.9785,0.25686,42
16,16,0.095703,0.96484,-2.9199,0.25686,68
16,16,0.097656,1.2734,-2.8477,0.25686,51
16,16,0,1.1914,-2.8359,0.51373,46
16,16,0.097656,1.6504,-2.6465,0.51373,36
31,1,0.55273,0,0.30664,-1.2843,18
36,2,-0.37891,0.16797,-0.32617,-2.0549,13
36,2,-0.21484,0,0.51758,-2.0549,7
38,6,-0.24805,0.41992,-0.20117,-1.798,15
